feature,coefficient,abs_coefficient
return_rate_180d,1.2509361263480623,1.2509361263480623
negative_ticket_rate_90d,0.7941341238971243,0.7941341238971243
acquisition_channel_Organic,-0.6483089480712199,0.6483089480712199
preferred_category_Fragrance,-0.5891876156523908,0.5891876156523908
avg_discount_pct_180d,0.5070838158442716,0.5070838158442716
loyalty_tier_Platinum,-0.3612938498621433,0.3612938498621433
marketing_consent_Yes,-0.3490693036620971,0.3490693036620971
preferred_category_Hair Care,-0.3205724311956888,0.3205724311956888
ticket_count_90d,-0.29607056832492257,0.29607056832492257
preferred_category_Makeup,-0.21367961216930773,0.21367961216930773
category_diversity_180d,0.19954051031405454,0.19954051031405454
abandoned_carts_30d,-0.1840025874878137,0.1840025874878137
frequency_180d,-0.17513608206136286,0.17513608206136286
campaign_clicks_30d,-0.1537807826703928,0.1537807826703928
avg_rating_180d,-0.10178928114392939,0.10178928114392939
preferred_category_Wellness,0.09390869577404462,0.09390869577404462
city_tier_Tier 3,-0.08955279727339305,0.08955279727339305
preferred_category_Skin Care,0.07478071626344233,0.07478071626344233
loyalty_tier_Silver,0.07241828695215506,0.07241828695215506
age_group_45+,-0.05778724797313469,0.05778724797313469
acquisition_channel_Referral,-0.04481477531870114,0.04481477531870114
acquisition_channel_Influencer,-0.04294273737940492,0.04294273737940492
acquisition_channel_Marketplace,0.040943208986350545,0.040943208986350545
age_group_25-34,-0.03988140235216621,0.03988140235216621
sessions_30d,-0.034197937208018094,0.034197937208018094
acquisition_channel_Instagram,0.03390403662287162,0.03390403662287162
email_opens_30d,0.03274901465304734,0.03274901465304734
recency_days,0.02146635640820051,0.02146635640820051
city_tier_Tier 2,-0.0193654056532401,0.0193654056532401
cart_adds_30d,0.018878272482137498,0.018878272482137498
last_visit_days_ago,0.0165588017235451,0.0165588017235451
wishlist_adds_30d,0.016370122494440333,0.016370122494440333
age_group_35-44,0.010785923044739812,0.010785923044739812
product_views_30d,-0.004434352124667842,0.004434352124667842
avg_resolution_hours_90d,0.0037847237770097636,0.0037847237770097636
days_since_signup,-0.0007436526781533062,0.0007436526781533062
monetary_180d,-0.0004529108231409593,0.0004529108231409593
